,gi|42740712|gb|AY530277.1|_(reversed),gi|42740717|gb|AY530282.1|_(reversed),gi|42740699|gb|AY530264.1|_(reversed),gi|42740722|gb|AY530287.1|_(reversed),16H10_15,16H10_25,16H10_12,gi|42740685|gb|AY530250.1|_(reversed),gi|42740671|gb|AY530236.1|_(reversed),gi|42740673|gb|AY530238.1|_(reversed),16H10_27,16H10_38,16H10_49,16H10_60,16H10_70,16H10_55,16H10_65,16H10_30,16H10_41,16H10_36,16H10_47,16H10_51,gi|42740675|gb|AY530240.1|_(reversed),gi|42740697|gb|AY530262.1|_(reversed),16H10_1,16H10_19,16H10_6,16H10_16,16H10_26,16H10_3,16H10_8,16H10_21,16H10_13,16H10_23,16H10_10,gi|42740696|gb|AY530261.1|_(reversed),gi|42740691|gb|AY530256.1|_(reversed),gi|42740657|gb|AY530222.1|_(reversed),gi|42740672|gb|AY530237.1|_(reversed),gi|42740665|gb|AY530230.1|_(reversed),16H10_34,16H10_45,16H10_58,16H10_68,16H10_73,gi|42740719|gb|AY530284.1|_(reversed),gi|42740688|gb|AY530253.1|_(reversed),gi|42740678|gb|AY530243.1|_(reversed),gi|42740677|gb|AY530242.1|_(reversed),gi|42740705|gb|AY530270.1|_(reversed),gi|42740692|gb|AY530257.1|_(reversed),gi|42740663|gb|AY530228.1|_(reversed),gi|42740661|gb|AY530226.1|_(reversed),gi|42740664|gb|AY530229.1|_(reversed),gi|42740703|gb|AY530268.1|_(reversed),gi|42740674|gb|AY530239.1|_(reversed),gi|42740708|gb|AY530273.1|_(reversed),gi|42740694|gb|AY530259.1|_(reversed),gi|42740713|gb|AY530278.1|_(reversed),gi|42740662|gb|AY530227.1|_(reversed),gi|42740656|gb|AY530221.1|_(reversed),gi|42740655|gb|AY530220.1|_(reversed),06E22_3,06E22_4,06E22_7,06E22_8,06E22_9,06E22_10,gi|42740701|gb|AY530266.1|_(reversed),gi|42740690|gb|AY530255.1|_(reversed),gi|42740667|gb|AY530232.1|_(reversed),gi|42740680|gb|AY530245.1|_(reversed),gi|42740686|gb|AY530251.1|_(reversed),gi|42740687|gb|AY530252.1|_(reversed),06E22_1,06E22_2,06E22_5,06E22_6,gi|42740684|gb|AY530249.1|_(reversed),gi|42740682|gb|AY530247.1|_(reversed),gi|42740660|gb|AY530225.1|_(reversed),gi|42740679|gb|AY530244.1|_(reversed),gi|42740654|gb|AY530219.1|_(reversed),gi|42740653|gb|AY530218.1|_(reversed),gi|42740704|gb|AY530269.1|_(reversed),gi|42740651|gb|AY530216.1|_(reversed),gi|42740659|gb|AY530224.1|_(reversed),16H10_61,16H10_71,16H10_56,16H10_66,gi|42740709|gb|AY530274.1|_(reversed),gi|42740669|gb|AY530234.1|_(reversed),gi|42740689|gb|AY530254.1|_(reversed),154C,154B,154A,gi|42740695|gb|AY530260.1|_(reversed),16H10_29,16H10_40,16H10_69,16H10_74,16H10_59,16H10_35,16H10_46_,gi|42740658|gb|AY530223.1|_(reversed),158A,156C,gi|42740652|gb|AY530217.1|_(reversed),gi|42740693|gb|AY530258.1|_(reversed),155A,16H10_14,16H10_2,16H10_20,16H10_7,16H10_4,16H10_9,16H10_17,16H10_22,16H10_5,16H10_18,16H10_11,16H10_24,gi|42740720|gb|AY530285.1|_(reversed),gi|42740683|gb|AY530248.1|_(reversed),gi|42740721|gb|AY530286.1|_(reversed),gi|42740715|gb|AY530280.1|_(reversed),16H10_37,16H10_48,gi|42740716|gb|AY530281.1|_(reversed),gi|42740714|gb|AY530279.1|_(reversed),gi|42740681|gb|AY530246.1|_(reversed),gi|42740706|gb|AY530271.1|_(reversed),gi|42740670|gb|AY530235.1|_(reversed),16H10_31,16H10_42,16H10_52,16H10_62,16H10_54,16H10_64,gi|42740702|gb|AY530267.1|_(reversed),gi|42740668|gb|AY530233.1|_(reversed),16H10_28,16H10_39,16H10_50,16H10_33,16H10_44,gi|42740676|gb|AY530241.1|_(reversed),16H10_57,16H10_67,16H10_72,gi|42740707|gb|AY530272.1|_(reversed),16H10_43,16H10_63,16H10_32,16H10_53,15C05_3,15C05_9,15C05_13,15C05_11,15C05_18,15C05_45,15C05_43,15C05_34,15C05_32,15C05_41,15C05_5,15C05_15,15C05_20,15C05_28_,15C05_48,15C05_23,15C05_37_,15C05_25,15C05_54,15C05_8,15C05_51,15C05_52,15C05_40,15C05_31,15C05_33,15C05_24,15C05_53,15C05_39,15C05_50,15C05_30,15C05_1,15C05_12,15C05_16,15C05_21,15C05_6,15C05_46_,15C05_4,15C05_14,15C05_10,15C05_42,15C05_44,15C05_19_,15C05_26,15C05_55_,15C05_38,15C05_49,15C05_29,15C05_56,15C05_35,15C05_2,15C05_7,15C05_17,gi|42740710|gb|AY530275.1|_(reversed),gi|42740711|gb|AY530276.1|_(reversed),gi|42740698|gb|AY530263.1|_(reversed),15C05_22,15C05_36,15C05_27,15C05_47,gi|42740700|gb|AY530265.1|_(reversed),gi|42740666|gb|AY530231.1|_(reversed),gi|42740718|gb|AY530283.1|_(reversed)
15C05_53,0.068,0.068,0.075,0.104,0.061,0.061,0.084,0.061,0.068,0.068,0.092,0.085,0.084,0.075,0.075,0.075,0.076,0.090,0.083,0.083,0.098,0.075,0.083,0.068,0.090,0.082,0.082,0.090,0.090,0.075,0.061,0.068,0.075,0.076,0.047,0.097,0.075,0.068,0.105,0.061,0.120,0.120,0.120,0.120,0.120,0.047,0.069,0.069,0.069,0.106,0.075,0.068,0.068,0.098,0.091,0.083,0.105,0.082,0.083,0.096,0.096,0.097,0.091,0.098,0.114,0.114,0.101,0.101,0.105,0.061,0.047,0.077,0.089,0.089,0.047,0.047,0.076,0.076,0.114,0.115,0.084,0.092,0.075,0.075,0.061,0.062,0.062,0.116,0.116,0.123,0.110,0.047,0.061,0.068,0.055,0.055,0.062,0.047,0.083,0.075,0.068,0.069,0.061,0.054,0.054,0.069,0.069,0.054,0.062,0.076,0.075,0.055,0.054,0.054,0.075,0.054,0.054,0.054,0.061,0.068,0.061,0.061,0.062,0.040,0.040,0.040,0.047,0.062,0.054,0.077,0.069,0.055,0.083,0.068,0.075,0.075,0.068,0.062,0.069,0.069,0.061,0.054,0.084,0.084,0.084,0.069,0.069,0.083,0.054,0.054,0.054,0.047,0.069,0.076,0.083,0.076,0.111,0.111,0.127,0.168,0.126,0.142,0.150,0.111,0.158,0.158,0.120,0.097,0.089,0.104,0.111,0.096,0.111,0.097,0.112,0.105,0.098,0.090,0.083,0.076,0.085,0.048,0.000,0.054,0.061,0.054,0.083,0.128,0.075,0.090,0.082,0.068,0.112,0.082,0.090,0.082,0.096,0.090,0.082,0.112,0.114,0.069,0.061,0.049,0.061,0.097,0.075,0.090,0.104,0.104,0.101,0.098,0.068,0.090,0.076,0.108,0.084,0.125
15C05_39,0.083,0.083,0.075,0.097,0.076,0.076,0.085,0.061,0.068,0.068,0.076,0.068,0.068,0.075,0.075,0.075,0.076,0.092,0.084,0.084,0.098,0.077,0.083,0.068,0.104,0.097,0.105,0.105,0.097,0.090,0.075,0.075,0.075,0.090,0.075,0.098,0.076,0.086,0.107,0.062,0.123,0.123,0.123,0.123,0.123,0.062,0.055,0.055,0.055,0.091,0.076,0.069,0.070,0.108,0.100,0.085,0.107,0.083,0.085,0.097,0.097,0.098,0.078,0.084,0.109,0.109,0.092,0.092,0.114,0.062,0.048,0.076,0.104,0.104,0.061,0.054,0.084,0.084,0.114,0.108,0.099,0.091,0.075,0.075,0.063,0.077,0.077,0.126,0.126,0.133,0.119,0.062,0.076,0.069,0.070,0.070,0.095,0.062,0.098,0.091,0.083,0.084,0.076,0.069,0.069,0.084,0.069,0.069,0.077,0.093,0.090,0.070,0.069,0.069,0.090,0.068,0.068,0.068,0.076,0.083,0.076,0.090,0.090,0.055,0.055,0.055,0.062,0.077,0.069,0.092,0.084,0.070,0.084,0.098,0.090,0.090,0.083,0.077,0.084,0.084,0.076,0.069,0.100,0.100,0.100,0.084,0.084,0.100,0.069,0.069,0.069,0.062,0.086,0.093,0.100,0.093,0.113,0.113,0.130,0.169,0.127,0.143,0.151,0.127,0.158,0.158,0.151,0.111,0.104,0.112,0.135,0.120,0.135,0.089,0.105,0.113,0.098,0.091,0.084,0.077,0.086,0.069,0.054,0.000,0.020,0.027,0.099,0.145,0.091,0.106,0.098,0.089,0.113,0.084,0.105,0.082,0.105,0.091,0.083,0.112,0.107,0.077,0.069,0.072,0.076,0.100,0.076,0.091,0.105,0.105,0.102,0.099,0.083,0.085,0.062,0.118,0.078,0.118
15C05_50,0.090,0.090,0.082,0.104,0.082,0.082,0.091,0.068,0.075,0.075,0.084,0.076,0.076,0.082,0.082,0.082,0.082,0.098,0.091,0.090,0.105,0.083,0.090,0.075,0.104,0.104,0.112,0.104,0.104,0.090,0.082,0.082,0.075,0.097,0.082,0.105,0.083,0.092,0.114,0.068,0.129,0.129,0.129,0.129,0.129,0.068,0.070,0.070,0.070,0.106,0.082,0.076,0.076,0.114,0.106,0.091,0.113,0.089,0.091,0.104,0.104,0.105,0.084,0.090,0.115,0.115,0.099,0.099,0.120,0.068,0.054,0.083,0.111,0.111,0.068,0.061,0.091,0.091,0.121,0.114,0.106,0.099,0.082,0.082,0.069,0.083,0.083,0.131,0.131,0.139,0.125,0.069,0.083,0.075,0.076,0.076,0.101,0.068,0.105,0.097,0.090,0.090,0.083,0.076,0.075,0.091,0.092,0.076,0.084,0.099,0.097,0.077,0.075,0.075,0.097,0.075,0.075,0.075,0.083,0.090,0.083,0.097,0.097,0.061,0.061,0.061,0.068,0.083,0.075,0.099,0.091,0.076,0.090,0.105,0.090,0.097,0.090,0.076,0.076,0.077,0.083,0.076,0.106,0.106,0.106,0.091,0.091,0.106,0.076,0.076,0.076,0.069,0.092,0.099,0.106,0.099,0.113,0.113,0.129,0.168,0.127,0.143,0.150,0.127,0.150,0.150,0.142,0.104,0.104,0.119,0.143,0.127,0.143,0.096,0.112,0.112,0.105,0.097,0.090,0.083,0.093,0.076,0.061,0.020,0.000,0.033,0.105,0.152,0.097,0.113,0.105,0.096,0.120,0.090,0.105,0.089,0.111,0.097,0.089,0.119,0.131,0.084,0.076,0.079,0.083,0.106,0.083,0.097,0.111,0.111,0.109,0.105,0.090,0.091,0.084,0.125,0.084,0.133
15C05_30,0.083,0.083,0.090,0.096,0.090,0.090,0.099,0.075,0.082,0.082,0.092,0.085,0.084,0.090,0.090,0.090,0.090,0.106,0.099,0.098,0.113,0.091,0.097,0.082,0.120,0.112,0.112,0.120,0.112,0.105,0.090,0.090,0.090,0.105,0.075,0.097,0.090,0.100,0.113,0.076,0.137,0.137,0.137,0.137,0.137,0.076,0.085,0.085,0.085,0.106,0.090,0.083,0.084,0.122,0.115,0.099,0.121,0.097,0.099,0.111,0.111,0.112,0.076,0.083,0.123,0.123,0.107,0.107,0.129,0.076,0.062,0.076,0.082,0.082,0.040,0.033,0.062,0.062,0.121,0.114,0.106,0.099,0.090,0.090,0.061,0.077,0.077,0.126,0.126,0.133,0.119,0.062,0.069,0.083,0.070,0.070,0.078,0.062,0.082,0.075,0.083,0.084,0.076,0.069,0.069,0.084,0.086,0.069,0.077,0.093,0.090,0.070,0.069,0.069,0.090,0.068,0.068,0.068,0.076,0.083,0.076,0.090,0.090,0.055,0.055,0.055,0.062,0.077,0.069,0.092,0.084,0.070,0.098,0.098,0.090,0.090,0.083,0.077,0.084,0.084,0.076,0.069,0.084,0.084,0.084,0.084,0.084,0.100,0.069,0.069,0.069,0.062,0.069,0.076,0.084,0.076,0.127,0.127,0.144,0.168,0.126,0.142,0.150,0.111,0.158,0.158,0.167,0.127,0.119,0.135,0.159,0.128,0.135,0.104,0.120,0.120,0.113,0.105,0.098,0.091,0.101,0.083,0.054,0.027,0.033,0.000,0.086,0.131,0.077,0.092,0.085,0.089,0.128,0.097,0.120,0.097,0.112,0.105,0.083,0.112,0.140,0.091,0.083,0.087,0.090,0.114,0.090,0.105,0.120,0.120,0.118,0.114,0.083,0.099,0.092,0.118,0.092,0.134
15C05_1,0.069,0.069,0.074,0.104,0.060,0.060,0.069,0.060,0.067,0.067,0.093,0.085,0.085,0.074,0.074,0.074,0.075,0.097,0.090,0.082,0.097,0.075,0.082,0.067,0.104,0.096,0.096,0.104,0.096,0.090,0.075,0.082,0.074,0.090,0.060,0.089,0.053,0.061,0.106,0.061,0.119,0.119,0.127,0.127,0.127,0.061,0.069,0.069,0.069,0.120,0.075,0.068,0.069,0.105,0.082,0.083,0.090,0.082,0.091,0.096,0.096,0.089,0.092,0.098,0.098,0.098,0.099,0.099,0.120,0.061,0.054,0.061,0.074,0.074,0.047,0.048,0.063,0.063,0.113,0.106,0.098,0.091,0.074,0.074,0.061,0.047,0.047,0.083,0.083,0.090,0.077,0.033,0.047,0.053,0.047,0.047,0.070,0.040,0.075,0.068,0.061,0.061,0.054,0.047,0.047,0.061,0.070,0.054,0.047,0.055,0.075,0.063,0.054,0.054,0.075,0.061,0.061,0.061,0.068,0.076,0.068,0.082,0.082,0.040,0.040,0.040,0.047,0.062,0.054,0.069,0.061,0.055,0.090,0.082,0.075,0.075,0.068,0.062,0.069,0.069,0.061,0.054,0.084,0.084,0.084,0.069,0.069,0.084,0.054,0.054,0.054,0.047,0.070,0.077,0.084,0.077,0.096,0.096,0.111,0.168,0.127,0.126,0.134,0.111,0.158,0.158,0.151,0.112,0.104,0.119,0.142,0.112,0.127,0.096,0.112,0.121,0.112,0.105,0.097,0.091,0.085,0.106,0.083,0.099,0.105,0.086,0.000,0.039,0.006,0.020,0.020,0.047,0.082,0.054,0.076,0.054,0.067,0.061,0.040,0.067,0.099,0.054,0.054,0.064,0.047,0.068,0.061,0.075,0.096,0.096,0.100,0.090,0.069,0.097,0.077,0.092,0.091,0.132
15C05_12,0.097,0.097,0.111,0.142,0.103,0.103,0.090,0.103,0.111,0.111,0.134,0.127,0.126,0.118,0.118,0.118,0.119,0.142,0.135,0.127,0.143,0.119,0.127,0.111,0.150,0.141,0.142,0.150,0.141,0.134,0.119,0.126,0.118,0.127,0.103,0.134,0.096,0.096,0.144,0.104,0.165,0.165,0.174,0.174,0.174,0.104,0.099,0.099,0.099,0.135,0.119,0.104,0.105,0.143,0.119,0.119,0.135,0.111,0.136,0.133,0.133,0.126,0.137,0.144,0.127,0.127,0.146,0.146,0.167,0.097,0.097,0.089,0.118,0.118,0.090,0.090,0.099,0.099,0.160,0.152,0.144,0.128,0.118,0.118,0.105,0.089,0.089,0.128,0.128,0.128,0.121,0.075,0.075,0.095,0.083,0.083,0.106,0.082,0.119,0.111,0.097,0.097,0.096,0.082,0.089,0.105,0.114,0.097,0.090,0.098,0.119,0.107,0.090,0.090,0.111,0.104,0.104,0.104,0.112,0.106,0.097,0.127,0.127,0.082,0.083,0.082,0.089,0.105,0.097,0.113,0.105,0.098,0.135,0.111,0.119,0.119,0.112,0.106,0.113,0.114,0.105,0.097,0.104,0.104,0.104,0.113,0.113,0.129,0.097,0.097,0.097,0.090,0.115,0.122,0.130,0.122,0.142,0.142,0.158,0.210,0.174,0.174,0.182,0.158,0.207,0.207,0.191,0.158,0.150,0.166,0.191,0.159,0.175,0.127,0.142,0.168,0.127,0.119,0.127,0.120,0.115,0.153,0.128,0.145,0.152,0.131,0.039,0.000,0.046,0.060,0.060,0.089,0.127,0.082,0.120,0.096,0.111,0.089,0.081,0.111,0.145,0.097,0.097,0.109,0.089,0.097,0.089,0.105,0.141,0.141,0.148,0.136,0.113,0.135,0.121,0.139,0.130,0.182
15C05_16,0.061,0.061,0.067,0.096,0.054,0.054,0.061,0.053,0.060,0.060,0.084,0.077,0.076,0.067,0.067,0.067,0.068,0.089,0.082,0.075,0.090,0.068,0.075,0.060,0.097,0.089,0.089,0.097,0.089,0.082,0.068,0.075,0.067,0.083,0.053,0.082,0.046,0.054,0.098,0.053,0.111,0.111,0.119,0.119,0.119,0.053,0.062,0.062,0.062,0.112,0.067,0.061,0.061,0.097,0.075,0.075,0.082,0.074,0.083,0.088,0.088,0.082,0.084,0.090,0.090,0.090,0.092,0.092,0.112,0.054,0.047,0.054,0.067,0.067,0.040,0.040,0.055,0.055,0.105,0.098,0.090,0.083,0.067,0.067,0.054,0.054,0.054,0.091,0.091,0.098,0.085,0.040,0.054,0.060,0.040,0.040,0.062,0.033,0.068,0.061,0.053,0.054,0.047,0.040,0.040,0.054,0.062,0.047,0.040,0.047,0.068,0.055,0.047,0.047,0.068,0.054,0.054,0.054,0.061,0.068,0.061,0.075,0.075,0.033,0.033,0.033,0.040,0.054,0.047,0.062,0.054,0.047,0.082,0.075,0.068,0.068,0.061,0.054,0.061,0.062,0.054,0.047,0.076,0.076,0.076,0.061,0.061,0.076,0.047,0.047,0.047,0.040,0.062,0.069,0.076,0.069,0.089,0.089,0.104,0.160,0.119,0.119,0.142,0.104,0.150,0.150,0.143,0.104,0.097,0.111,0.134,0.104,0.119,0.089,0.104,0.113,0.105,0.097,0.090,0.083,0.077,0.098,0.075,0.091,0.097,0.077,0.006,0.046,0.000,0.013,0.013,0.040,0.075,0.047,0.068,0.047,0.060,0.054,0.033,0.060,0.091,0.047,0.054,0.064,0.040,0.075,0.053,0.068,0.104,0.104,0.100,0.083,0.061,0.090,0.069,0.084,0.084,0.124
15C05_21,0.076,0.076,0.082,0.111,0.068,0.068,0.076,0.068,0.074,0.074,0.093,0.085,0.085,0.082,0.082,0.082,0.082,0.104,0.097,0.090,0.105,0.082,0.082,0.074,0.112,0.104,0.104,0.112,0.104,0.097,0.082,0.089,0.082,0.098,0.067,0.097,0.060,0.068,0.099,0.068,0.126,0.126,0.134,0.134,0.134,0.068,0.076,0.076,0.076,0.128,0.082,0.075,0.076,0.098,0.090,0.090,0.097,0.089,0.098,0.103,0.103,0.096,0.099,0.105,0.090,0.090,0.107,0.107,0.128,0.068,0.061,0.068,0.081,0.081,0.054,0.054,0.054,0.054,0.106,0.098,0.091,0.091,0.067,0.067,0.068,0.069,0.069,0.100,0.100,0.107,0.093,0.054,0.068,0.074,0.054,0.054,0.077,0.047,0.082,0.075,0.068,0.068,0.061,0.054,0.054,0.068,0.077,0.061,0.054,0.062,0.075,0.063,0.061,0.061,0.082,0.068,0.068,0.068,0.075,0.083,0.075,0.090,0.090,0.047,0.047,0.047,0.054,0.054,0.061,0.076,0.068,0.062,0.097,0.090,0.082,0.082,0.075,0.069,0.076,0.076,0.068,0.061,0.091,0.091,0.091,0.076,0.076,0.091,0.061,0.061,0.061,0.054,0.077,0.084,0.091,0.084,0.104,0.104,0.119,0.177,0.134,0.134,0.158,0.119,0.166,0.166,0.160,0.120,0.112,0.127,0.150,0.120,0.135,0.104,0.104,0.129,0.120,0.112,0.105,0.098,0.093,0.106,0.090,0.106,0.113,0.092,0.020,0.060,0.013,0.000,0.026,0.054,0.090,0.061,0.083,0.061,0.074,0.068,0.033,0.060,0.092,0.061,0.068,0.079,0.054,0.090,0.068,0.068,0.119,0.119,0.109,0.098,0.076,0.105,0.084,0.085,0.083,0.140
15C05_6,0.068,0.068,0.074,0.103,0.060,0.060,0.068,0.060,0.067,0.067,0.092,0.085,0.084,0.074,0.074,0.074,0.075,0.096,0.089,0.082,0.097,0.075,0.082,0.067,0.104,0.096,0.096,0.104,0.096,0.089,0.075,0.082,0.074,0.090,0.060,0.089,0.053,0.061,0.105,0.060,0.111,0.111,0.118,0.118,0.118,0.060,0.069,0.069,0.069,0.119,0.074,0.068,0.068,0.105,0.082,0.082,0.089,0.082,0.090,0.096,0.096,0.089,0.091,0.097,0.097,0.097,0.099,0.099,0.119,0.060,0.054,0.061,0.074,0.074,0.047,0.047,0.062,0.062,0.113,0.105,0.098,0.091,0.074,0.074,0.061,0.061,0.061,0.099,0.099,0.106,0.092,0.047,0.061,0.074,0.047,0.047,0.069,0.040,0.075,0.068,0.060,0.061,0.054,0.047,0.047,0.061,0.069,0.054,0.047,0.054,0.075,0.062,0.054,0.054,0.075,0.061,0.061,0.061,0.068,0.075,0.068,0.082,0.082,0.040,0.040,0.040,0.047,0.061,0.054,0.069,0.061,0.054,0.089,0.075,0.075,0.075,0.068,0.061,0.068,0.069,0.061,0.054,0.083,0.083,0.083,0.068,0.068,0.083,0.054,0.054,0.054,0.047,0.069,0.076,0.084,0.076,0.096,0.096,0.111,0.168,0.126,0.126,0.150,0.111,0.158,0.158,0.151,0.112,0.104,0.119,0.142,0.112,0.127,0.096,0.111,0.120,0.112,0.104,0.097,0.090,0.085,0.106,0.082,0.098,0.105,0.085,0.020,0.060,0.013,0.026,0.000,0.047,0.082,0.053,0.075,0.054,0.067,0.061,0.026,0.054,0.090,0.054,0.061,0.071,0.047,0.082,0.060,0.075,0.111,0.111,0.100,0.090,0.068,0.097,0.076,0.092,0.091,0.132
15C05_46_,0.061,0.061,0.068,0.096,0.068,0.068,0.076,0.054,0.061,0.061,0.085,0.077,0.077,0.068,0.068,0.068,0.068,0.090,0.082,0.075,0.091,0.068,0.076,0.061,0.091,0.082,0.082,0.090,0.075,0.075,0.061,0.068,0.068,0.076,0.046,0.097,0.067,0.075,0.097,0.053,0.118,0.118,0.118,0.118,0.118,0.053,0.062,0.062,0.062,0.112,0.067,0.061,0.061,0.082,0.075,0.075,0.082,0.075,0.082,0.089,0.089,0.089,0.082,0.089,0.105,0.105,0.085,0.085,0.111,0.054,0.047,0.070,0.082,0.082,0.053,0.054,0.068,0.068,0.106,0.113,0.091,0.084,0.068,0.068,0.054,0.054,0.054,0.106,0.106,0.113,0.099,0.040,0.054,0.060,0.047,0.047,0.069,0.040,0.075,0.068,0.061,0.061,0.054,0.047,0.047,0.061,0.061,0.047,0.054,0.054,0.068,0.054,0.047,0.047,0.068,0.054,0.054,0.054,0.061,0.068,0.061,0.075,0.075,0.033,0.033,0.033,0.040,0.054,0.047,0.069,0.061,0.047,0.082,0.075,0.068,0.068,0.061,0.055,0.061,0.061,0.054,0.047,0.075,0.075,0.075,0.061,0.061,0.075,0.047,0.047,0.047,0.040,0.061,0.068,0.061,0.068,0.104,0.104,0.119,0.160,0.119,0.126,0.142,0.104,0.151,0.151,0.144,0.106,0.098,0.112,0.134,0.104,0.119,0.090,0.105,0.113,0.105,0.097,0.089,0.083,0.077,0.098,0.068,0.089,0.096,0.089,0.047,0.089,0.040,0.054,0.047,0.000,0.075,0.046,0.068,0.047,0.060,0.054,0.061,0.090,0.105,0.061,0.054,0.056,0.040,0.074,0.053,0.067,0.111,0.111,0.101,0.091,0.061,0.089,0.068,0.099,0.083,0.132
15C05_4,0.097,0.097,0.089,0.118,0.089,0.089,0.098,0.074,0.081,0.081,0.100,0.093,0.092,0.089,0.089,0.089,0.089,0.104,0.096,0.089,0.104,0.082,0.096,0.081,0.111,0.103,0.111,0.096,0.089,0.096,0.081,0.089,0.081,0.097,0.089,0.111,0.089,0.097,0.105,0.074,0.141,0.141,0.141,0.141,0.141,0.074,0.083,0.083,0.083,0.134,0.089,0.082,0.083,0.120,0.112,0.097,0.104,0.096,0.105,0.103,0.103,0.104,0.106,0.112,0.129,0.129,0.091,0.091,0.112,0.074,0.068,0.090,0.118,0.118,0.089,0.089,0.097,0.097,0.120,0.136,0.112,0.105,0.089,0.089,0.075,0.090,0.090,0.145,0.145,0.153,0.139,0.075,0.089,0.081,0.082,0.082,0.106,0.075,0.111,0.104,0.096,0.097,0.089,0.083,0.082,0.097,0.097,0.082,0.090,0.082,0.104,0.091,0.082,0.082,0.104,0.082,0.082,0.082,0.089,0.104,0.097,0.096,0.096,0.068,0.068,0.068,0.075,0.090,0.082,0.099,0.097,0.083,0.096,0.104,0.104,0.104,0.096,0.090,0.090,0.090,0.082,0.082,0.112,0.112,0.112,0.097,0.097,0.112,0.082,0.082,0.082,0.075,0.098,0.105,0.113,0.105,0.111,0.111,0.127,0.168,0.126,0.142,0.150,0.126,0.150,0.150,0.151,0.112,0.104,0.134,0.158,0.142,0.158,0.111,0.126,0.135,0.127,0.119,0.111,0.105,0.084,0.121,0.112,0.113,0.120,0.128,0.082,0.127,0.075,0.090,0.082,0.075,0.000,0.040,0.075,0.067,0.088,0.067,0.082,0.111,0.121,0.083,0.075,0.086,0.060,0.081,0.060,0.074,0.134,0.134,0.116,0.112,0.097,0.111,0.090,0.139,0.106,0.156
15C05_14,0.068,0.068,0.060,0.089,0.060,0.060,0.069,0.046,0.053,0.053,0.076,0.068,0.068,0.060,0.060,0.060,0.060,0.082,0.075,0.068,0.082,0.061,0.067,0.053,0.081,0.074,0.082,0.081,0.074,0.067,0.053,0.060,0.053,0.068,0.060,0.082,0.060,0.069,0.090,0.047,0.111,0.111,0.111,0.111,0.111,0.047,0.054,0.054,0.054,0.104,0.060,0.054,0.054,0.090,0.083,0.068,0.075,0.067,0.076,0.074,0.074,0.075,0.076,0.083,0.098,0.098,0.076,0.076,0.104,0.046,0.040,0.061,0.088,0.088,0.060,0.061,0.075,0.075,0.090,0.105,0.082,0.076,0.060,0.060,0.047,0.061,0.061,0.115,0.115,0.122,0.108,0.047,0.061,0.053,0.054,0.054,0.077,0.047,0.082,0.075,0.067,0.068,0.061,0.054,0.053,0.068,0.068,0.054,0.061,0.061,0.075,0.062,0.053,0.053,0.075,0.053,0.053,0.053,0.061,0.075,0.068,0.082,0.082,0.040,0.040,0.040,0.047,0.061,0.053,0.069,0.068,0.054,0.068,0.075,0.075,0.075,0.068,0.061,0.068,0.068,0.061,0.054,0.083,0.083,0.083,0.068,0.068,0.082,0.054,0.054,0.054,0.047,0.069,0.076,0.083,0.076,0.082,0.082,0.097,0.135,0.096,0.111,0.119,0.096,0.126,0.126,0.119,0.082,0.075,0.104,0.126,0.111,0.126,0.082,0.096,0.104,0.096,0.089,0.082,0.075,0.070,0.090,0.082,0.084,0.090,0.097,0.054,0.082,0.047,0.061,0.053,0.046,0.040,0.000,0.046,0.040,0.060,0.047,0.053,0.081,0.099,0.054,0.047,0.056,0.033,0.047,0.026,0.040,0.103,0.103,0.085,0.082,0.068,0.082,0.061,0.107,0.076,0.124
15C05_10,0.091,0.091,0.082,0.111,0.067,0.067,0.090,0.067,0.074,0.074,0.093,0.085,0.085,0.082,0.082,0.082,0.082,0.104,0.097,0.090,0.105,0.082,0.089,0.074,0.096,0.104,0.112,0.097,0.104,0.082,0.082,0.089,0.074,0.098,0.082,0.112,0.081,0.090,0.113,0.067,0.134,0.134,0.134,0.134,0.134,0.067,0.076,0.076,0.076,0.127,0.082,0.075,0.075,0.112,0.105,0.090,0.097,0.089,0.097,0.096,0.096,0.096,0.098,0.105,0.121,0.121,0.107,0.107,0.127,0.068,0.061,0.084,0.111,0.111,0.082,0.082,0.098,0.098,0.113,0.129,0.090,0.099,0.082,0.082,0.068,0.083,0.083,0.120,0.120,0.128,0.113,0.068,0.082,0.074,0.075,0.075,0.099,0.068,0.104,0.097,0.089,0.090,0.083,0.076,0.075,0.090,0.090,0.075,0.083,0.083,0.097,0.084,0.075,0.075,0.097,0.083,0.083,0.083,0.090,0.083,0.090,0.104,0.105,0.061,0.061,0.061,0.068,0.083,0.075,0.099,0.091,0.076,0.097,0.090,0.082,0.097,0.089,0.076,0.090,0.090,0.083,0.075,0.105,0.105,0.105,0.090,0.090,0.105,0.075,0.075,0.075,0.068,0.091,0.098,0.105,0.098,0.119,0.119,0.119,0.176,0.134,0.150,0.150,0.134,0.150,0.150,0.127,0.089,0.096,0.126,0.134,0.134,0.150,0.104,0.119,0.082,0.104,0.112,0.104,0.098,0.092,0.090,0.090,0.105,0.105,0.120,0.076,0.120,0.068,0.083,0.075,0.068,0.075,0.046,0.000,0.061,0.081,0.068,0.075,0.104,0.122,0.076,0.068,0.079,0.054,0.074,0.053,0.067,0.126,0.126,0.116,0.105,0.091,0.104,0.068,0.116,0.098,0.148
